"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andhra Pradesh","Guntur","2021-07-02","2021","07","9.787614487","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-03","2021","07","3.952213351","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-04","2021","07","1.396573566","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-05","2021","07","3.029813193","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-06","2021","07","0.543553101","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-07","2021","07","1.531152783","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-08","2021","07","12.48564783","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-09","2021","07","0.099512089","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-10","2021","07","11.72052035","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-11","2021","07","1.229483569","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-12","2021","07","3.075299627","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-13","2021","07","2.246097576","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-14","2021","07","11.77774585","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-15","2021","07","5.545154432","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-16","2021","07","23.40953385","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-17","2021","07","14.9244379","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-18","2021","07","22.13141124","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-19","2021","07","4.115840382","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-20","2021","07","0.421315454","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-21","2021","07","2.087506182","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-22","2021","07","35.33874677","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-23","2021","07","34.15523841","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-24","2021","07","8.351262177","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-25","2021","07","0.06149281","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-26","2021","07","2.339700638","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-27","2021","07","0.039978256","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-28","2021","07","0.012122841","IMD GRID MODEL"
