"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andhra Pradesh","Kurnool","2022-07-13","2022","07","2.646041659","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-14","2022","07","1.376818673","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-15","2022","07","0.288861789","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-16","2022","07","0.102120629","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-17","2022","07","3.494928803","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-18","2022","07","4.41316887","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-19","2022","07","2.286267411","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-20","2022","07","0.000250338","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-21","2022","07","0.394460406","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-22","2022","07","4.036356463","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-23","2022","07","3.829702647","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-24","2022","07","4.223808461","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-25","2022","07","0.692866055","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-26","2022","07","13.08638871","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-27","2022","07","4.926779099","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-28","2022","07","0.861890493","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-29","2022","07","1.804207781","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-01","2022","07","4.834698465","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-02","2022","07","3.775020193","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-03","2022","07","0.717930739","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-04","2022","07","2.088006242","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-05","2022","07","0.529984505","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-06","2022","07","10.61944451","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-07","2022","07","1.303394183","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-08","2022","07","4.947296225","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-09","2022","07","5.111152031","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-10","2022","07","2.764449036","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-11","2022","07","1.041646082","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-12","2022","07","5.97835632","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-13","2022","07","2.108334005","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-14","2022","07","0.803401247","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-15","2022","07","1.044473485","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-16","2022","07","0.038014327","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-17","2022","07","1.735172","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-18","2022","07","11.84697127","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-19","2022","07","2.314849805","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-20","2022","07","0.358100906","IMD GRID MODEL"
